id	color	no	cname	ename	jname	kana	kname	s_cname	s_ename	area	p_id	p_dis	n_id	n_dis												
sys			台北捷運	Taipei Metro	台北MRT																					
route	D12D33		淡水信義線	Tamsui-Xinyi Line	淡水信義線																					
trtc-R01		R01	廣慈/奉天宮	Guangci / Fengtian Temple	広慈/奉天宮	こうじ/ほうてんぐう				台北市信義區			trtc-R02													
trtc-R02		R02	象山	Elephant Mountain	象山	しょうざん	샹산			台北市信義區	trtc-R01		trtc-R03	0.86												
trtc-R03		R03	台北101/世貿	Taipei 101 / World Trade Center	台北101/世界貿易センター	たいぺいいちまるいち/せいぼうせんたー	타이베이 101/세계무역센터			台北市信義區	trtc-R02	0.86	trtc-R04	1.08												
trtc-R04		R04	信義安和	Xinyi Anhe	信義安和	しんぎあんわ	신이 안허			台北市大安區	trtc-R03	1.08	trtc-R05	0.79												
trtc-R05		R05	大安	Daan	大安	だいあん	다안			台北市大安區	trtc-R04	0.79	trtc-R06	0.80												
trtc-R06		R06	大安森林公園	Daan Park	大安森林公園	だいあんしんりんこうえん	다안 삼림 공원			台北市大安區	trtc-R05	0.80	trtc-R07	0.66												
trtc-R07		R07	東門	Dongmen	東門	とうもん	둥먼			台北市中正區	trtc-R06	0.66	trtc-R08	1.20												
trtc-R08		R08	中正紀念堂	Chiang Kai-Shek Memorial Hall	中正紀念堂	ちゅうせいきねんどう	중정 기념당	南門	Nanmen	台北市中正區	trtc-R07	1.20	trtc-R09	0.95												
trtc-R09		R09	台大醫院	NTU Hospital	台湾大学病院	たいわんだいがくびょういん	대만 대학 병원			台北市中正區	trtc-R08	0.95	trtc-R10	0.63												
trtc-R10		R10	台北車站	Taipei Main Station	台北駅	たいぺいえき	타이베이 역			台北市中正區	trtc-R09	0.63	trtc-R11	0.63												
trtc-R11		R11	中山	Zhongshan	中山	なかやま	중산			台北市中山區	trtc-R10	0.63	trtc-R12	0.54												
trtc-R12		R12	雙連	Shuanglian	双連	そうれん	솽롄	馬偕紀念醫院	Mackay Memorial Hospital	台北市大同區	trtc-R11	0.54	trtc-R13	0.55												
trtc-R13		R13	民權西路	Minquan W. Rd.	民権西路	みんけんせいろ	민취안시루			台北市中山區	trtc-R12	0.55	trtc-R14	1.02												
trtc-R14		R14	圓山	Yuanshan	円山	まるやま	위안산			台北市大同區	trtc-R13	1.02	trtc-R15	1.52												
trtc-R15		R15	劍潭	Jiantan	剣潭	けんたん	젠탄	北藝中心	Taipei Performing Arts Center	台北市士林區	trtc-R14	1.52	trtc-R16	1.19												
trtc-R16		R16	士林	Shilin	士林	しりん	스린			台北市士林區	trtc-R15	1.19	trtc-R17	0.98												
trtc-R17		R17	芝山	Zhishan	芝山	しざん	즈산			台北市士林區	trtc-R16	0.98	trtc-R18	0.89												
trtc-R18		R18	明德	Mingde	明徳	めいとく	밍더			台北市北投區	trtc-R17	0.89	trtc-R19	0.61												
trtc-R19		R19	石牌	Shipai	石牌	せきはい	스파이	榮總	Veterans General Hospital	台北市北投區	trtc-R18	0.61	trtc-R20	1.24												
trtc-R20		R20	唭哩岸	Qilian	唭哩岸	きりがん	치리안			台北市北投區	trtc-R19	1.24	trtc-R21	0.85												
trtc-R21		R21	奇岩	Qiyan	奇岩	きがん	치옌			台北市北投區	trtc-R20	0.85	trtc-R22	0.76												
trtc-R22		R22	北投	Beitou	北投	ぺいとう	베이터우			台北市北投區	trtc-R21	0.76	trtc-R23	1.62												
trtc-R23		R23	復興崗	Fuxinggang	復興崗	ふっこうこう	푸싱강			台北市北投區	trtc-R22	1.62	trtc-R24	1.44												
trtc-R24		R24	忠義	Zhongyi	忠義	ちゅうぎ	중이			台北市北投區	trtc-R23	1.44	trtc-R25	0.88												
trtc-R25		R25	關渡	Guandu	関渡	かんと	관두			台北市北投區	trtc-R24	0.88	trtc-R26	2.05												
trtc-R26		R26	竹圍	Zhuwei	竹囲	ちくい	주웨이			新北市淡水區	trtc-R25	2.05	trtc-R27	1.94												
trtc-R27		R27	紅樹林	Hongshulin	紅樹林	こうじゅりん	훙수린			新北市淡水區	trtc-R26	1.94	trtc-R28	2.06												
